Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
BEIJING SHUNXIN AGRICULTURE LTD A,CNE000000XH3,SBD5C9L55,0.0%,Consumer Staples,China,BB
BEIJING SINNET TECHNOLOGY LTD A,CNE100001S16,SBD5CJ486,0.0%,Information Technology,China,BBB
BEIJING TIANTAN BIOLOGICAL PRODUCT,CNE000000WF9,SBP3R9J47,0.0%,Health Care,China,CCC
BEIJING UNITED INFORMATION TECHNOL,CNE100003M28,SBK71CY39,0.0%,Industrials,China,B
BEIJING WANTAI BIOLOGICAL PHARMACY,CNE100004090,SBMXTWX45,0.0%,Health Care,China,CCC
BEIJING YUANLIU HONGYUAN ELECTRONI,CNE100003LG3,SBK71BP72,0.0%,Information Technology,China,B
BEIJING-SHANGHAI HIGH SPEED RAILWA,CNE100003RV9,SBL58M766,0.0%,Industrials,China,CCC
BETTA PHARMACEUTICALS LTD A,CNE100002DD9,SBD6QWL73,0.0%,Health Care,China,B
BGI GENOMICS LTD A,CNE100003449,SBFY8H589,0.0%,Health Care,China,BB
BILIBILI AMERICAN DEPOSITARY SHARE,US0900401060,090040106,0.0%,Communication Services,China,BB
BILIBILI CLASS Z INC,KYG1098A1013,SBLF85332,0.0%,Communication Services,China,BB
BLOOMAGE BIOTECHNOLOGY CORP LTD A,CNE100003NL9,SBP91NT81,0.0%,Health Care,China,B
BOC HONG KONG HOLDINGS LTD,HK2388011192,S65361123,0.0%,Financials,China,AAA
BOC INTERNATIONAL (CHINA) LTD A,CNE100003R64,SBL6D3554,0.0%,Financials,China,B
BOE TECHNOLOGY GROUP LTD A,CNE0000016L5,SBD5CPL75,0.0%,Information Technology,China,BB
BOSIDENG INTERNATIONAL LTD,KYG126521064,SB24FZ326,0.0%,Consumer Discretionary,China,BBB
BTG HOTELS GROUP LTD A,CNE0000012Q3,SBP3RKH93,0.0%,Consumer Discretionary,China,
BUDWEISER BREWING COMPANY APAC LTD,KYG1674K1013,SBKDXJH50,0.0%,Consumer Staples,China,A
BURNING ROCK BIOTECH ADS REPRESENT,US12233L1070,12233L107,0.0%,Health Care,China,B
BY-HEALTH LTD A,CNE100000Y84,SBD5CKV26,0.0%,Consumer Staples,China,BB
BYD ELECTRONIC (INTERNATIONAL) LTD,HK0285041858,SB29SHS57,0.0%,Information Technology,China,BBB
BYD LTD A,CNE100001526,SBD5CQ696,0.0%,Consumer Discretionary,China,A
BYD LTD H,CNE100000296,S65366510,0.0%,Consumer Discretionary,China,A
C&D PROPERTY MANAGEMENT GROUP LTD,VGG3165E1079,SBN6HJY28,0.0%,Real Estate,China,
CAITONG SECURITIES LTD A,CNE100002V44,SBFY9KS52,0.0%,Financials,China,B
CANAAN ADR REPRESENTING  INC,US1347481020,134748102,0.0%,Information Technology,China,
CANSINO BIOLOGICS INC,CNE100003F01,SBJKDJS23,0.0%,Health Care,China,A
CANSINO BIOLOGICS INC A,CNE100004BM0,SBMD9JD34,0.0%,Health Care,China,A
CECEP SOLAR ENERGY LTD A,CNE0000000K1,SBD5LQM23,0.0%,Utilities,China,BB
CECEP WIND-POWER CORP A,CNE100001T15,SBZ0D1V16,0.0%,Utilities,China,BB
CGN POWER LTD H,CNE100001T80,BRSQPJ3S0,0.0%,Utilities,China,BB
CHACHA FOOD LTD A,CNE1000010Q5,SBD5LW578,0.0%,Consumer Staples,China,BB
CHANGCHUN HIGH & NEW TECHNOLOGY IN,CNE0000007J8,SBD5CDB32,0.0%,Health Care,China,B
CHANGJIANG SECURITIES LTD A,CNE000000SH3,SBD5CP409,0.0%,Financials,China,BB
CHANGZHOU XINGYU AUTOMOTIVE LIGHTI,CNE1000011H2,SBS7K3D25,0.0%,Consumer Discretionary,China,BB
CHAOZHOU THREE-CIRCLE (GROUP) LTD,CNE100001Y42,SBD5CLT76,0.0%,Information Technology,China,BB
CHENGTUN MINING GROUP LTD A,CNE000000KN8,SBTFRHJ63,0.0%,Materials,China,BB
CHENGXIN LITHIUM GROUP LTD A,CNE100000BN6,SBFCCQ558,0.0%,Materials,China,BB
CHIFENG JILONG GOLD MINING LTD A,CNE000001H94,SBZ0D1S85,0.0%,Materials,China,CCC
CHINA AOYUAN GROUP LTD,KYG2119Z1090,SBJGS0Q60,0.0%,Real Estate,China,BBB
CHINA BAOAN GROUP LTD A,CNE000000222,SBD5CKD42,0.0%,Industrials,China,BB
CHINA BLUECHEMICAL LTD H,CNE1000002D0,SB1DN3X67,0.0%,Materials,China,CCC
CHINA CINDA ASSET MANAGEMENT LTD H,CNE100001QS1,BRSLCH144,0.0%,Financials,China,B
CHINA CITIC BANK CORP LTD H,CNE1000001Q4,SB1W0JF24,0.0%,Financials,China,BBB
CHINA COAL ENERGY LTD H,CNE100000528,SB1JNK849,0.0%,Energy,China,BB
CHINA COMMUNICATIONS SERVICES CORP,CNE1000002G3,SB1HVJ169,0.0%,Industrials,China,BB
CHINA CONCH ENVIRONMENT PROTECTION,KYG2124M1015,SBNM1NF71,0.0%,Industrials,China,
CHINA CONCH VENTURE HOLDINGS LTD,KYG2116J1085,SBH7HM064,0.0%,Industrials,China,BBB
CHINA CONSTRUCTION BANK CORP A,CNE100000742,SBP3R3L47,0.0%,Financials,China,A
CHINA CONSTRUCTION BANK CORP H,CNE1000002H1,SB0LMTQ39,0.2%,Financials,China,A
CHINA CSSC HOLDINGS LTD A,CNE000000W05,SBP3R4N35,0.0%,Industrials,China,CCC
CHINA DATANG CORPORATION RENEWABLE,CNE100000X69,SB4YX1N21,0.0%,Utilities,China,
CHINA EAST EDUCATION HOLDINGS LTD,KYG2120T1004,SBJGSS620,0.0%,Consumer Discretionary,China,BB
CHINA EASTERN AIRLINES CORP LTD A,CNE000000TR0,SBP3R5X07,0.0%,Industrials,China,A
CHINA EDUCATION GROUP HOLDINGS LTD,KYG2163M1033,SBF134338,0.0%,Consumer Discretionary,China,BBB
CHINA ENERGY ENGINEERING CORP LTD,CNE100004QL0,SBP2DDJ11,0.0%,Industrials,China,B
CHINA EVERBRIGHT BANK LTD A,CNE100000SL4,SBP3R2P11,0.0%,Financials,China,BBB
CHINA EVERBRIGHT BANK LTD H,CNE100001QW3,BRSCN5M03,0.0%,Financials,China,BBB
CHINA EVERBRIGHT ENVIRONMENT GROUP,HK0257001336,S66309402,0.0%,Industrials,China,BB
CHINA EVERBRIGHT GREENTECH LTD,KYG2R55E1030,SBF0LS584,0.0%,Utilities,China,BB
CHINA EVERBRIGHT WATER LTD,BMG2116Y1057,SBV54J170,0.0%,Utilities,China,BB
CHINA EVERGRANDE GROUP,KYG2119W1069,SBD3DS688,0.0%,Real Estate,China,CCC
CHINA FEIHE LTD,KYG2121Q1055,SBK0SBL15,0.0%,Consumer Staples,China,BBB
CHINA GALAXY SECURITIES LTD A,CNE100002FG7,SBYWPH658,0.0%,Financials,China,BBB
CHINA GALAXY SECURITIES LTD H,CNE100001NT6,SB92NYF24,0.0%,Financials,China,BBB
CHINA GAS HOLDINGS LTD,BMG2109G1033,S64607948,0.0%,Utilities,China,BB
CHINA GREATWALL SECURITIES LTD A,CNE100003GD0,SBKDQ8118,0.0%,Financials,China,B
CHINA GREATWALL TECHNOLOGY GROUP L,CNE000000RL7,SBD5CKJ04,0.0%,Information Technology,China,CCC
CHINA HARMONY NEW ENERGY AUTO HOLD,KYG2118N1079,SBYMW8J66,0.0%,Consumer Discretionary,China,
CHINA HONGQIAO GROUP LTD,KYG211501005,SB44ZV941,0.0%,Materials,China,B
CHINA INTERNATIONAL CAPITAL CORP L,CNE100002359,SBZ169C65,0.0%,Financials,China,BBB
CHINA INTERNATIONAL CAPITAL CORP L,CNE1000048J0,SBMYPCF33,0.0%,Financials,China,BBB
CHINA ISOTOPE & RADIATION CORP H,CNE1000031F4,SBDFWXC41,0.0%,Health Care,China,
CHINA JINMAO HOLDINGS GROUP LTD,HK0817039453,SB23TGR60,0.0%,Real Estate,China,BB
CHINA JUSHI LTD A,CNE000000YM1,SBP3RDW50,0.0%,Materials,China,BBB
CHINA LESSO GROUP HOLDINGS LTD,KYG2157Q1029,SBCDBKF86,0.0%,Industrials,China,A
CHINA LIFE INSURANCE LTD A,CNE000001Q93,SBP3R2513,0.0%,Financials,China,BB
CHINA LIFE INSURANCE LTD H,CNE1000002L3,B0A0JPWY3,0.0%,Financials,China,BB
CHINA LITERATURE LTD,KYG2121R1039,SBYP71J96,0.0%,Communication Services,China,BB
CHINA LONGYUAN POWER GROUP CORP LT,CNE100000HD4,SB4Q2TX38,0.0%,Utilities,China,A
CHINA MAPLE LEAF EDUCATIONAL SYSTE,KYG211511160,SBD3JR692,0.0%,Consumer Discretionary,China,
